@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
98,'2021/11/23 11:23:57:108',1,0.226563,0.428704,0.92574,0.043326,0.297998
99,'2021/11/23 11:23:57:134',1,0.258854,0.39537,0.92574,0.043326,0.297998
100,'2021/11/23 11:23:57:142',1,0.269792,0.37963,0.92574,0.043326,0.297998
101,'2021/11/23 11:23:57:167',1,0.285937,0.330556,0.92574,0.043326,0.297998
102,'2021/11/23 11:23:57:182',1,0.284896,0.288889,0.92574,0.043326,0.297998
103,'2021/11/23 11:23:57:208',1,0.242708,0.214815,0.92574,0.043326,0.297998
104,'2021/11/23 11:23:57:223',1,0.233854,0.20463,0.92574,0.043326,0.297998
105,'2021/11/23 11:23:57:242',1,0.169792,0.153704,0.92574,0.043326,0.297998
106,'2021/11/23 11:23:57:269',1,0.10625,0.151852,0.92574,0.043326,0.297998
107,'2021/11/23 11:23:57:282',1,0.097917,0.162037,0.92574,0.043326,0.297998
108,'2021/11/23 11:23:57:305',1,0.085938,0.238889,0.92574,0.043326,0.297998
109,'2021/11/23 11:23:57:337',1,0.119271,0.359259,0.92574,0.043326,0.297998
110,'2021/11/23 11:23:57:342',1,0.135417,0.388889,0.92574,0.043326,0.297998
111,'2021/11/23 11:23:57:368',1,0.190104,0.442593,0.92574,0.043326,0.297998
112,'2021/11/23 11:23:57:382',1,0.207813,0.443519,0.92574,0.043326,0.297998
113,'2021/11/23 11:23:57:406',1,0.247917,0.417593,0.92574,0.043326,0.297998
114,'2021/11/23 11:23:57:434',1,0.264583,0.300926,0.92574,0.043326,0.297998
115,'2021/11/23 11:23:57:442',1,0.261458,0.266667,0.92574,0.043326,0.297998
116,'2021/11/23 11:23:57:467',1,0.231771,0.182407,0.92574,0.043326,0.297998
117,'2021/11/23 11:23:57:482',1,0.2,0.127778,0.92574,0.043326,0.297998
118,'2021/11/23 11:23:57:508',1,0.156771,0.084259,0.92574,0.043326,0.297998
119,'2021/11/23 11:23:57:533',1,0.11875,0.07963,0.92574,0.043326,0.297998
120,'2021/11/23 11:23:57:542',1,0.109896,0.083333,0.92574,0.043326,0.297998
121,'2021/11/23 11:23:57:568',1,0.086458,0.164815,0.92574,0.043326,0.297998
122,'2021/11/23 11:23:57:582',1,0.0875,0.258333,0.92574,0.043326,0.297998
123,'2021/11/23 11:23:57:609',1,0.110417,0.367593,0.92574,0.043326,0.297998
124,'2021/11/23 11:23:57:635',1,0.164063,0.452778,0.92574,0.043326,0.297998
125,'2021/11/23 11:23:57:642',1,0.173438,0.453704,0.92574,0.043326,0.297998
126,'2021/11/23 11:23:57:668',1,0.243229,0.425,0.92574,0.043326,0.297998
127,'2021/11/23 11:23:57:682',1,0.254167,0.405556,0.92574,0.043326,0.297998
128,'2021/11/23 11:23:57:706',1,0.265625,0.332407,0.92574,0.043326,0.297998
129,'2021/11/23 11:23:57:734',1,0.240104,0.206481,0.92574,0.043326,0.297998
130,'2021/11/23 11:23:57:742',1,0.226563,0.17963,0.92574,0.043326,0.297998
131,'2021/11/23 11:23:57:768',1,0.197396,0.144444,0.92574,0.043326,0.297998
132,'2021/11/23 11:23:57:782',1,0.167708,0.135185,0.92574,0.043326,0.297998
133,'2021/11/23 11:23:57:802',1,0.151562,0.146296,0.92574,0.043326,0.297998
134,'2021/11/23 11:23:57:834',1,0.132292,0.222222,0.92574,0.043326,0.297998
135,'2021/11/23 11:23:57:842',1,0.13125,0.248148,0.92574,0.043326,0.297998
136,'2021/11/23 11:23:57:870',1,0.138021,0.325,0.92574,0.043326,0.297998
137,'2021/11/23 11:23:57:882',1,0.155729,0.362963,0.92574,0.043326,0.297998
138,'2021/11/23 11:23:57:907',1,0.194792,0.386111,0.92574,0.043326,0.297998
139,'2021/11/23 11:23:57:923',1,0.211458,0.386111,0.92574,0.043326,0.297998
140,'2021/11/23 11:23:57:942',1,0.246354,0.362963,0.92574,0.043326,0.297998
141,'2021/11/23 11:23:57:968',1,0.269271,0.321296,0.92574,0.043326,0.297998
142,'2021/11/23 11:23:57:982',1,0.273958,0.281481,0.92574,0.043326,0.297998
143,'2021/11/23 11:23:58:007',1,0.260417,0.227778,0.92574,0.043326,0.297998
144,'2021/11/23 11:23:58:034',1,0.225,0.169444,0.92574,0.043326,0.297998
145,'2021/11/23 11:23:58:042',1,0.205729,0.151852,0.92574,0.043326,0.297998
146,'2021/11/23 11:23:58:070',1,0.169271,0.138889,0.92574,0.043326,0.297998
147,'2021/11/23 11:23:58:082',1,0.154167,0.146296,0.92574,0.043326,0.297998
148,'2021/11/23 11:23:58:105',1,0.139583,0.190741,0.92574,0.043326,0.297998
149,'2021/11/23 11:23:58:134',1,0.157813,0.297222,0.92574,0.043326,0.297998
150,'2021/11/23 11:23:58:142',1,0.182812,0.34537,0.92574,0.043326,0.297998
151,'2021/11/23 11:23:58:171',1,0.230729,0.389815,0.92574,0.043326,0.297998
152,'2021/11/23 11:23:58:182',1,0.255208,0.401852,0.92574,0.043326,0.297998
153,'2021/11/23 11:23:58:206',1,0.289583,0.402778,0.92574,0.043326,0.297998
154,'2021/11/23 11:23:58:234',1,0.304167,0.361111,0.92574,0.043326,0.297998
155,'2021/11/23 11:23:58:242',1,0.304167,0.325,0.92574,0.043326,0.297998
156,'2021/11/23 11:23:58:267',1,0.270833,0.209259,0.92574,0.043326,0.297998
157,'2021/11/23 11:23:58:282',1,0.246354,0.155556,0.92574,0.043326,0.297998
158,'2021/11/23 11:23:58:309',1,0.208333,0.110185,0.92574,0.043326,0.297998
159,'2021/11/23 11:23:58:334',1,0.163542,0.100926,0.92574,0.043326,0.297998
160,'2021/11/23 11:23:58:342',1,0.153125,0.112963,0.92574,0.043326,0.297998
161,'2021/11/23 11:23:58:367',1,0.134896,0.194444,0.92574,0.043326,0.297998
162,'2021/11/23 11:23:58:382',1,0.136458,0.273148,0.92574,0.043326,0.297998
163,'2021/11/23 11:23:58:409',1,0.185417,0.443519,0.92574,0.043326,0.297998
164,'2021/11/23 11:23:58:442',1,0.249479,0.501852,0.92574,0.043326,0.297998
165,'2021/11/23 11:23:58:468',1,0.305208,0.478704,0.92574,0.043326,0.297998
166,'2021/11/23 11:23:58:482',1,0.316667,0.462037,0.92574,0.043326,0.297998
167,'2021/11/23 11:23:58:505',1,0.332812,0.400926,0.92574,0.043326,0.297998
168,'2021/11/23 11:23:58:535',1,0.308333,0.269444,0.92574,0.043326,0.297998
169,'2021/11/23 11:23:58:542',1,0.300521,0.25463,0.92574,0.043326,0.297998
170,'2021/11/23 11:23:58:567',1,0.254687,0.175926,0.92574,0.043326,0.297998
171,'2021/11/23 11:23:58:582',1,0.222917,0.149074,0.92574,0.043326,0.297998
172,'2021/11/23 11:23:58:610',1,0.175521,0.142593,0.92574,0.043326,0.297998
173,'2021/11/23 11:23:58:633',1,0.1375,0.178704,0.92574,0.043326,0.297998
174,'2021/11/23 11:23:58:642',1,0.129688,0.2,0.92574,0.043326,0.297998
175,'2021/11/23 11:23:58:671',1,0.128646,0.366667,0.92574,0.043326,0.297998
176,'2021/11/23 11:23:58:682',1,0.140104,0.411111,0.92574,0.043326,0.297998
177,'2021/11/23 11:23:58:706',1,0.177083,0.487963,0.92574,0.043326,0.297998
178,'2021/11/23 11:23:58:734',1,0.241667,0.518519,0.92574,0.043326,0.297998
179,'2021/11/23 11:23:58:742',1,0.257813,0.507407,0.92574,0.043326,0.297998
180,'2021/11/23 11:23:58:768',1,0.288542,0.408333,0.92574,0.043326,0.297998
181,'2021/11/23 11:23:58:782',1,0.289583,0.373148,0.92574,0.043326,0.297998
182,'2021/11/23 11:23:58:804',1,0.276042,0.284259,0.92574,0.043326,0.297998
183,'2021/11/23 11:23:58:834',1,0.239583,0.236111,0.92574,0.043326,0.297998
184,'2021/11/23 11:23:58:842',1,0.222917,0.230556,0.92574,0.043326,0.297998
185,'2021/11/23 11:23:58:867',1,0.199479,0.241667,0.92574,0.043326,0.297998
